Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,genome_001,genome_002,genome_003,genome_004,genome_005,genome_006,genome_007,genome_008,genome_009,genome_010,genome_011,genome_012,genome_013,genome_014,genome_015,genome_016,genome_017,genome_018,genome_019,genome_020,genome_021,genome_022,genome_023,genome_024,genome_025,genome_026,genome_027,genome_028,genome_029,genome_030
group_0236,group_0236,DNA polymerase,,,,,,,,,,,,,,group_0236_genome_003_0,,,,,,,,group_0236_genome_011_0,,,group_0236_genome_014_0,,,,,,,,,,,,group_0236_genome_026_0,,,group_0236_genome_029_0,
group_0237,group_0237,efflux pump,,,,,,,,,,,,group_0237_genome_001_0,,,,,,,,group_0237_genome_009_0,,,,,,,,,,,,,,,,,,,,,
group_0238,group_0238,,,,,,,,,,,,,group_0238_genome_001_0,group_0238_genome_002_0,group_0238_genome_003_0,group_0238_genome_004_0,group_0238_genome_005_0,group_0238_genome_006_0,group_0238_genome_007_0,group_0238_genome_008_0,group_0238_genome_009_0,group_0238_genome_010_0,group_0238_genome_011_0,group_0238_genome_012_0,group_0238_genome_013_0,group_0238_genome_014_0,group_0238_genome_015_0,group_0238_genome_016_0,group_0238_genome_017_0,group_0238_genome_018_0,group_0238_genome_019_0,group_0238_genome_020_0,group_0238_genome_021_0,group_0238_genome_022_0;group_0238_genome_022_1,group_0238_genome_023_0,group_0238_genome_024_0,group_0238_genome_025_0,group_0238_genome_026_0,group_0238_genome_027_0,group_0238_genome_028_0,group_0238_genome_029_0,group_0238_genome_030_0
group_0239,group_0239,flagellar protein,,,,,,,,,,,,group_0239_genome_001_0,group_0239_genome_002_0,group_0239_genome_003_0,group_0239_genome_004_0;group_0239_genome_004_1,,,group_0239_genome_007_0,,,group_0239_genome_010_0;group_0239_genome_010_1,group_0239_genome_011_0,group_0239_genome_012_0,,group_0239_genome_014_0,group_0239_genome_015_0,group_0239_genome_016_0,group_0239_genome_017_0,group_0239_genome_018_0,group_0239_genome_019_0,group_0239_genome_020_0,,group_0239_genome_022_0,group_0239_genome_023_0,group_0239_genome_024_0,,,group_0239_genome_027_0,group_0239_genome_028_0,group_0239_genome_029_0,group_0239_genome_030_0
group_0240,group_0240,flagellar protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_0241,group_0241,virulence factor,,,,,,,,,,,,group_0241_genome_001_0,group_0241_genome_002_0,group_0241_genome_003_0,group_0241_genome_004_0,group_0241_genome_005_0,group_0241_genome_006_0,group_0241_genome_007_0,group_0241_genome_008_0,group_0241_genome_009_0,group_0241_genome_010_0,group_0241_genome_011_0,group_0241_genome_012_0,group_0241_genome_013_0,group_0241_genome_014_0,group_0241_genome_015_0,group_0241_genome_016_0,group_0241_genome_017_0,group_0241_genome_018_0,group_0241_genome_019_0,group_0241_genome_020_0,group_0241_genome_021_0,group_0241_genome_022_0,group_0241_genome_023_0,group_0241_genome_024_0,group_0241_genome_025_0,group_0241_genome_026_0,group_0241_genome_027_0,group_0241_genome_028_0,group_0241_genome_029_0,group_0241_genome_030_0
group_0242,group_0242,efflux pump,,,,,,,,,,,,group_0242_genome_001_0,,group_0242_genome_003_0,group_0242_genome_004_0,group_0242_genome_005_0,,,group_0242_genome_008_0,,,,group_0242_genome_012_0,,,group_0242_genome_015_0,group_0242_genome_016_0,group_0242_genome_017_0,,,,group_0242_genome_021_0,,group_0242_genome_023_0,,group_0242_genome_025_0,group_0242_genome_026_0,,group_0242_genome_028_0,group_0242_genome_029_0,group_0242_genome_030_0
group_0243,group_0243,beta-lactamase,,,,,,,,,,,,,group_0243_genome_002_0,group_0243_genome_003_0,,,,group_0243_genome_007_0,,,group_0243_genome_010_0,group_0243_genome_011_0,group_0243_genome_012_0,,group_0243_genome_014_0,group_0243_genome_015_0,,group_0243_genome_017_0,group_0243_genome_018_0,group_0243_genome_019_0,group_0243_genome_020_0,group_0243_genome_021_0,,,,,group_0243_genome_026_0,,group_0243_genome_028_0,group_0243_genome_029_0,group_0243_genome_030_0
group_0244,group_0244,efflux pump,,,,,,,,,,,,group_0244_genome_001_0,group_0244_genome_002_0,group_0244_genome_003_0,group_0244_genome_004_0,group_0244_genome_005_0,group_0244_genome_006_0,group_0244_genome_007_0,group_0244_genome_008_0,group_0244_genome_009_0,group_0244_genome_010_0,group_0244_genome_011_0,group_0244_genome_012_0,group_0244_genome_013_0,group_0244_genome_014_0,group_0244_genome_015_0,group_0244_genome_016_0,group_0244_genome_017_0,group_0244_genome_018_0;group_0244_genome_018_1,group_0244_genome_019_0,group_0244_genome_020_0,,group_0244_genome_022_0,group_0244_genome_023_0,group_0244_genome_024_0,group_0244_genome_025_0,group_0244_genome_026_0,group_0244_genome_027_0,group_0244_genome_028_0,group_0244_genome_029_0,group_0244_genome_030_0
group_0245,group_0245,DNA polymerase,,,,,,,,,,,,group_0245_genome_001_0,group_0245_genome_002_0,group_0245_genome_003_0,group_0245_genome_004_0,group_0245_genome_005_0,,group_0245_genome_007_0,group_0245_genome_008_0,group_0245_genome_009_0,group_0245_genome_010_0,group_0245_genome_011_0,group_0245_genome_012_0,group_0245_genome_013_0,group_0245_genome_014_0,group_0245_genome_015_0,group_0245_genome_016_0,group_0245_genome_017_0,group_0245_genome_018_0,group_0245_genome_019_0,group_0245_genome_020_0,group_0245_genome_021_0,group_0245_genome_022_0,group_0245_genome_023_0,group_0245_genome_024_0,group_0245_genome_025_0,group_0245_genome_026_0,group_0245_genome_027_0,group_0245_genome_028_0,group_0245_genome_029_0,group_0245_genome_030_0
group_0246,group_0246,,,,,,,,,,,,,group_0246_genome_001_0,group_0246_genome_002_0,group_0246_genome_003_0,group_0246_genome_004_0,group_0246_genome_005_0,group_0246_genome_006_0,group_0246_genome_007_0,group_0246_genome_008_0,group_0246_genome_009_0,group_0246_genome_010_0,group_0246_genome_011_0,group_0246_genome_012_0,group_0246_genome_013_0,group_0246_genome_014_0,group_0246_genome_015_0,group_0246_genome_016_0,group_0246_genome_017_0,group_0246_genome_018_0,group_0246_genome_019_0,group_0246_genome_020_0,group_0246_genome_021_0,group_0246_genome_022_0,group_0246_genome_023_0,group_0246_genome_024_0,group_0246_genome_025_0,group_0246_genome_026_0,,group_0246_genome_028_0,group_0246_genome_029_0,group_0246_genome_030_0
group_0247,group_0247,beta-lactamase,,,,,,,,,,,,group_0247_genome_001_0,group_0247_genome_002_0,group_0247_genome_003_0,group_0247_genome_004_0,group_0247_genome_005_0,group_0247_genome_006_0,group_0247_genome_007_0,group_0247_genome_008_0,group_0247_genome_009_0,group_0247_genome_010_0,group_0247_genome_011_0,group_0247_genome_012_0,group_0247_genome_013_0,group_0247_genome_014_0,group_0247_genome_015_0,group_0247_genome_016_0,group_0247_genome_017_0,group_0247_genome_018_0,group_0247_genome_019_0,group_0247_genome_020_0,group_0247_genome_021_0,group_0247_genome_022_0,group_0247_genome_023_0,group_0247_genome_024_0,group_0247_genome_025_0,group_0247_genome_026_0,group_0247_genome_027_0,group_0247_genome_028_0,group_0247_genome_029_0,group_0247_genome_030_0
group_0248,group_0248,hypothetical protein,,,,,,,,,,,,group_0248_genome_001_0,group_0248_genome_002_0,group_0248_genome_003_0,group_0248_genome_004_0;group_0248_genome_004_1,group_0248_genome_005_0,group_0248_genome_006_0,group_0248_genome_007_0,group_0248_genome_008_0,group_0248_genome_009_0,group_0248_genome_010_0,group_0248_genome_011_0,group_0248_genome_012_0,group_0248_genome_013_0,group_0248_genome_014_0,group_0248_genome_015_0,group_0248_genome_016_0,group_0248_genome_017_0,group_0248_genome_018_0,group_0248_genome_019_0,group_0248_genome_020_0,group_0248_genome_021_0,group_0248_genome_022_0,group_0248_genome_023_0,group_0248_genome_024_0,group_0248_genome_025_0,group_0248_genome_026_0,group_0248_genome_027_0,group_0248_genome_028_0,group_0248_genome_029_0,group_0248_genome_030_0
group_0249,group_0249,DNA polymerase,,,,,,,,,,,,group_0249_genome_001_0,group_0249_genome_002_0,group_0249_genome_003_0,group_0249_genome_004_0;group_0249_genome_004_1,group_0249_genome_005_0,group_0249_genome_006_0,group_0249_genome_007_0,group_0249_genome_008_0,group_0249_genome_009_0,group_0249_genome_010_0,group_0249_genome_011_0,group_0249_genome_012_0,group_0249_genome_013_0,group_0249_genome_014_0,group_0249_genome_015_0,group_0249_genome_016_0,group_0249_genome_017_0,group_0249_genome_018_0,group_0249_genome_019_0,group_0249_genome_020_0,group_0249_genome_021_0,group_0249_genome_022_0,group_0249_genome_023_0,group_0249_genome_024_0,group_0249_genome_025_0,group_0249_genome_026_0,group_0249_genome_027_0,group_0249_genome_028_0,group_0249_genome_029_0,group_0249_genome_030_0
